id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUQzNkp2NUpBEAE,Modern structure with the gray ambience to pray and be with the Lord.,a month ago,2024-12-27 20:46:11.673918,5.0,Joyal Stephan D'sa,92,https://www.google.com/maps/contrib/106275417340427794298/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR5MW83VG53RRAB,"Built in 1965, it sure has unique style compares to historical churches you'd see in the centee of Paris.  Calm & unique",3 years ago,2024-12-27 20:46:11.673918,5.0,Kemal Can,288,https://www.google.com/maps/contrib/112774886270498802637/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUM2dzRpSzFBRRAB,It's so beautiful!,3 years ago,2024-12-27 20:46:11.674918,5.0,Anna Marois,21,https://www.google.com/maps/contrib/102529555308895354791/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN5dXQzSW53RRAB,"I love this magnificent, relaxing place, the architecture is sublime, you have to visit it at least once, you risk falling in love. It’s one of the most beautiful I’ve seen in the 15th arrondissement.",3 years ago,2024-12-27 20:46:11.674918,5.0,Halim Tout Court,387,https://www.google.com/maps/contrib/104465590188337427780/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMweHNMU0NBEAE,"Circular, sober and modern neighborhood church. The well of light illuminating the entire church promotes meditation and calm. Note the organ also very modern for the faithful.",5 years ago,2024-12-27 20:46:11.674918,5.0,Geena Martin,121,https://www.google.com/maps/contrib/108197252149733218908/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNvbW8zTjd3RRAB,Modern church built in 1965 in the 15th arrondissement with an entrance at the end of the passage. Very surprised by the interior,5 years ago,2024-12-27 20:46:11.674918,4.0,michele arrazat,120,https://www.google.com/maps/contrib/114927626826391145969/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURJbnB6R05BEAE,Very beautiful church. The choir sings the lyrical songs beautifully. A pure delight,5 years ago,2024-12-27 20:46:11.675918,5.0,Stephanie,138,https://www.google.com/maps/contrib/104313235154007454935/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMyNm8tV09BEAE,"Very beautiful, resolutely modern and contemporary church. I really like the roof and also the arrangement of the benches. Ideal for a moment of prayer, contemplation, reflection. You don't necessarily have to believe to appreciate the place.",2 years ago,2024-12-27 20:46:11.675918,5.0,George Patrice,201,https://www.google.com/maps/contrib/115868277422474468423/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNacDdyN0R3EAE,"Very pretty modern circular church suitable for worship and meditation thanks to its brightness, the materials used and its luminous dome This church seems very lively to the passing visitor, who like me, entering on a Sunday, was impressed by the dynamism and youth of the members participating in the sober and prayerful celebration of the mass.",a year ago,2024-12-27 20:46:11.675918,4.0,Marie HESPEL,97,https://www.google.com/maps/contrib/114294571550211317203/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNsc3Z1NV9RRRAB,Magnificent intergenerational parish! The round Church is a bit of a bunker unlike the sanctuary which has superb acoustics!,a year ago,2024-12-27 20:46:11.678924,5.0,Augustin R,10,https://www.google.com/maps/contrib/105125698113164345878/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNqZ1B5RjZBRRAB,The concert of Corsican songs was super nice but the church was very modern,8 months ago,2024-12-27 20:46:11.678924,5.0,nadine Karam,127,https://www.google.com/maps/contrib/111693809328671941102/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNjOEtqUFpnEAE,I listened to several concerts in this church whose vault is immense and very high. The sounds there are superb. The stained glass windows are very soft.,4 years ago,2024-12-27 20:46:11.679926,4.0,M -H - S,333,https://www.google.com/maps/contrib/111823651916584457218/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNZNmJxS05REAE,Good morning. I went to church yesterday morning for Palm Sunday mass. Very beautiful welcoming church open to all. I am very happy and touched and moved by this truly moving Rameaux and forgive him too. Thank you for everything and from the bottom of my heart. Samia.,5 years ago,2024-12-27 20:46:11.679926,5.0,Mia-Rosa,208,https://www.google.com/maps/contrib/114648787185724484162/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxa1pPZ0VnEAE,"A beautiful church and at my age, because I was born in 1965 😃 Today I am in Paris for the second time (after 35 years) and I am listening to a concert. Praise the Lord! …",3 years ago,2024-12-27 20:46:11.679926,5.0,Waldemar Pawlik,0,https://www.google.com/maps/contrib/114877868471544032512/reviews?hl=en
