id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURyLWFQZVVnEAE,Absolutely gorgeous! Lit a candle and reflect ……. 5 stars! Always so peaceful and beautiful,5 months ago,2024-12-27 20:29:28.707130,1.0,Astrid Fouquier,0,https://www.google.com/maps/contrib/111777415899584612905/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQycV9HOU93EAE,My lovely church in Paris... I love Jesus!,2 years ago,2024-12-27 20:29:28.707130,5.0,Ana Paula,13,https://www.google.com/maps/contrib/109267892428578183239/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQya1pMSkRnEAE,A beautiful church with a lot of artwork,2 years ago,2024-12-27 20:29:28.707130,5.0,Roshen Reji Varghese,32,https://www.google.com/maps/contrib/114743518019910619196/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURwc0pqU2p3RRAB,a beautiful church with many biblical people and buildings shown in paintings that are currently neatly restored.,a year ago,2024-12-27 20:29:28.707130,5.0,gamiezion,25,https://www.google.com/maps/contrib/106084931082862081534/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNZa2NMNDlRRRAB,"A very beautifull church that you can visit if you are tourist, seat and observe decorations, paints and silence in this busy area. In summer the place is fresh and it s a perfect stop for people. I recommand you to visit this place !",5 years ago,2024-12-27 20:29:28.708130,5.0,Oliv ier,206,https://www.google.com/maps/contrib/111487198505037422865/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR3dkt6U1VnEAE,"Small church located right beside the Haussmann department stores - very calm and serene inside, when compared to the noise and crowds around this very busy shopping & tourist area.",6 years ago,2024-12-27 20:29:28.708130,4.0,Ernesto Aginal,355,https://www.google.com/maps/contrib/108488941056144045499/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNtX01QVWZ3EAE,Located in the heart of Paris right next to the most visited malls in Paris; Printemps and Galeries Lafayette. It’s maybe one of the most active parishes in Paris.,3 years ago,2024-12-27 20:29:28.708130,5.0,PASCAL WATWAT,233,https://www.google.com/maps/contrib/116186393188122451972/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURSOTU3am1BRRAB,Very nice architecture,a year ago,2024-12-27 20:29:28.708130,4.0,Boussandel MED Iheb,58,https://www.google.com/maps/contrib/110886054719905958889/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN4bVpqMk1REAE,Solemn place to Praise and Worship God,a year ago,2024-12-27 20:29:28.708130,5.0,Manolito Mesina,1,https://www.google.com/maps/contrib/106080876394044349833/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURLaDZfeHhRRRAB,"Nothing from the outside. Inside, oh my God. So so beautiful. Definitely a presence in this gorgeous Paris church.",3 years ago,2024-12-27 20:29:28.709130,5.0,Greg Waugh,49,https://www.google.com/maps/contrib/110900098690345928216/reviews?hl=en
