id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURVa3ZHS0h3EAE,"the park is okay, many rough people tho, bad influence for kids",5 years ago,2025-01-24 13:03:36.071566,2.0,Ching yi Chen,31,https://www.google.com/maps/contrib/111206129049563488395/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR4dEtHamN3EAE,Good place for just relax.,a year ago,2025-01-24 13:03:36.072565,5.0,KAYOORIN SAMA,75,https://www.google.com/maps/contrib/113654984415293833973/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURBd1phTmNREAE,Excellent place in the heart of the city.,7 years ago,2025-01-24 13:03:36.072565,4.0,NostalAsie NostaLatina,175,https://www.google.com/maps/contrib/111108146072642890185/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURReDlYVnJ3RRAB,Cool,6 years ago,2025-01-24 13:03:36.073568,5.0,Gabriel,118,https://www.google.com/maps/contrib/102988463818594152655/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURidzl2YTBnRRAB,"A very beautiful garden, 🪴 full of stretch marks My children love it just as much. I recommend …",5 months ago,2025-01-24 13:03:36.073568,4.0,Sebata Abdelghani,122,https://www.google.com/maps/contrib/101729769996517863454/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMzNS1UZVJnEAE,"This garden is absolutely rubbish but I spend it with a certain pleasure. Don't dwell on it. Dwell on it if your judgment is pierced by a thousand bullets. I don't have a thousand bullets. Without me, your revolver games. In short, it's crazy. Damn it's crazy! Leave it.",2 months ago,2025-01-24 13:03:36.074567,3.0,an archy,398,https://www.google.com/maps/contrib/114418494382381468088/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURxMS1QNmRREAE,"A pretty little garden at the foot of the Chambord tower and next to Avenue d’Italie and the Maison Blanche metro station. Several entrances allowing all residents of the neighborhood to meet there as much for children's games at the end of the day or on the weekend, as for games of Ping pong or football on the weekend, small Snacks birthday too. The park is very flowery, well maintained, with well-defined spaces so that everyone can enjoy it without getting in the way. A real little park, very pleasant and family friendly",3 years ago,2025-01-24 13:03:36.074567,5.0,Olivier Olindo,364,https://www.google.com/maps/contrib/104548109177360196482/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURxaXRIUFR3EAE,"Pretty, well-kept garden, beautiful flowers but be careful, the children are careless with the tree leaves and play with balls without paying attention to the bushes...",a year ago,2025-01-24 13:03:36.075567,5.0,Cath Boul (CathB),108,https://www.google.com/maps/contrib/110860583113112967635/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR1d29EcEx3EAE,The garden remains pleasant despite the fact that I have doubts about cleaning the benches sometimes 🤣 in any case I watch my daughter there with pleasure in the playground. Small neighborhood garden. …,2 years ago,2025-01-24 13:03:36.076567,5.0,Sosso L.,155,https://www.google.com/maps/contrib/101122205883939411768/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNLZzlTOVRBEAE,Very large park with play areas Perfect for a picnic! 😋👍😄 …,3 years ago,2025-01-24 13:03:36.076567,4.0,Ilyes Mahdaoui (Illi75king),23,https://www.google.com/maps/contrib/115861053687055046318/reviews?hl=en
