id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNobTU3RVBnEAE,Well job,2 years ago,2025-03-15 21:52:26.632889,5.0,William Coste,0,https://www.google.com/maps/contrib/115970815048342219560/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNVX3JESUlnEAE,Beautiful window by the way I take the photo. I also remember a person working in this shop (maybe the boss) who took the time to answer a few questions with sympathy!!!,5 years ago,2025-03-15 21:52:26.633443,4.0,saïd Anas,293,https://www.google.com/maps/contrib/113281171887969326392/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURYOE4tT1lnEAE,original shop seen from the outside...superb old dolls,4 months ago,2025-03-15 21:52:26.634463,5.0,Ruf marta,677,https://www.google.com/maps/contrib/109489868373631711196/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUN4bm9QRkdBEAE,Superb doll shop with many choices.,a year ago,2025-03-15 21:52:26.635456,5.0,Théo ACNL,82,https://www.google.com/maps/contrib/104139236241355729914/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNvcHF2bHNBRRAB,A shop belonging to other wicked people!,6 years ago,2025-03-15 21:52:26.635558,4.0,paolo boeri,833,https://www.google.com/maps/contrib/102434221799333805412/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMwbTduVHFRRRAB,,5 years ago,2025-03-15 21:52:26.635558,5.0,Micha Ferdin,42,https://www.google.com/maps/contrib/102566460569640257362/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNVdTVIR3JBRRAB,,5 years ago,2025-03-15 21:52:26.636627,3.0,Tony Lebouc,0,https://www.google.com/maps/contrib/114235571724934762483/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUM0Z0lHMF9RRRAB,,5 years ago,2025-03-15 21:52:26.636627,5.0,Alper Yurttas,621,https://www.google.com/maps/contrib/114887115755563825030/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURZMjhLVlJREAE,,5 years ago,2025-03-15 21:52:26.637638,5.0,ناصر العا,0,https://www.google.com/maps/contrib/113797559987361439860/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNReS02ZVZREAE,,6 years ago,2025-03-15 21:52:26.641468,5.0,Anne Thornton-Trump,0,https://www.google.com/maps/contrib/112192582111982521808/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRaFl6cm5BRRAB,,6 years ago,2025-03-15 21:52:26.642483,5.0,Homer Michaels,0,https://www.google.com/maps/contrib/112347141299571691197/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBNWVtd19nRRAB,,6 years ago,2025-03-15 21:52:26.642483,5.0,Kim Wilson,1,https://www.google.com/maps/contrib/101824720977373102270/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURndWNLcEZnEAE,,7 years ago,2025-03-15 21:52:26.643482,2.0,Hakim Bzd,0,https://www.google.com/maps/contrib/116690127985461214667/reviews?hl=en
