id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNmeXUzWFl3EAE,"La Quatrième Pomme, a contemporary sculpture by Franck Scurti, is undeniably eye-catching along the Boulevard de Clichy. The piece, honouring the philosopher Charles Fourier, is rich with symbolism, drawing on historical and philosophical themes about societal evolution. However, despite its lofty ambitions, the overall experience falls short.  The design—a polished metallic apple etched with a world map—is visually intriguing, especially as it mirrors the urban landscape around it. Yet, the pedestal, a remnant of a previous monument to Fourier, appears worn and neglected. The presence of graffiti and accumulated grime detracts from the sculpture’s aesthetic and diminishes its historical significance.  A further issue lies in its integration with the environment. Positioned in a bustling area surrounded by cafés and heavy traffic, the piece struggles to command the attention it deserves. A more thoughtfully curated location or a better-maintained setting would allow it to stand out and be appreciated more fully.  Additionally, there is a notable lack of context for visitors. Without adequate signage or explanation, the philosophical and historical depth of “The Fourth Apple” is lost on most passersby. This is particularly disappointing given the educational and reflective potential of the work.  In summary, La Quatrième Pomme is an intriguing piece burdened by poor placement and lack of care. While its intentions and symbolism are commendable, the practical shortcomings undermine its impact. With better maintenance and more thoughtful presentation, it could become a truly memorable cultural landmark.",3 weeks ago,2025-01-24 11:43:01.554375,3.0,Cláudio Cardona,376,https://www.google.com/maps/contrib/100397911227828972891/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURqejZyV3pnRRAB,"During a walk of the pedestrian friendly  tree lined section of Boulevard De Clichy we stumbled across the sculpture known as the forth apple,  which adds to the beauty of the area.",8 months ago,2025-01-24 11:43:01.555378,5.0,V H,"1,000",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaczRicXRnRRAB,"Fourier's fourth apple Charles Fourier 1772-1837, stands on the Place de Clichy in the 9th arrondissement of Paris. During the Second World War, the Nazis removed the statue. There is now a giant silver apple on top of the plinth. In the 19th century, Fourier had as a thinker advanced ideas and also invented the important word feminism.",a year ago,2025-01-24 11:43:01.556377,5.0,Bogdan Marcelan,938,https://www.google.com/maps/contrib/100552965636459416082/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURudWNHajlBRRAB,Initially I thought this to be such an odd adornment for a Paris street but after reading the preceeding reviews I now realise it's significance to France. Such a memorable piece for so many reasons.,3 months ago,2025-01-24 11:43:01.557377,5.0,Mike Day,337,https://www.google.com/maps/contrib/101631451196518773367/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURLai0zbG9BRRAB,"The 4th apple is the work of French artist Franck Scurti, planted at the end of the 18th century Clichy boulevard.  Steel sculpture engraved with a planisphere and located on a stone pedestal, a vestige of a monument originally supporting a statue of Charles Fourier cast in 1942. Not far from there lies his grave in the Montmartre cemetery. Let's remember the 4 apples. N 1 the one that Eve offered to Adam N 2 the one that Paris offered to Aphrodite N 3 that of Isaac Newton received on the head while sleeping. N 4 his The Fourier apple which revealed to him the harmfulness of commerce and, at the same time, symbol of the attraction of human passions.",3 years ago,2025-01-24 11:43:01.557377,5.0,BUSCA GIAM,405,https://www.google.com/maps/contrib/104988806245298693464/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ3anIyWkdBEAE,"An apple to commemorate the utopia of Charles Fourier, a philanthropist who would be useful in our times of ordinary and gratuitous hatred.",4 months ago,2025-01-24 11:43:01.558377,5.0,Christophe Vix-Gras,127,https://www.google.com/maps/contrib/117865535833577131004/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNSbXVLbjh3RRAB,Very pretty & lively Place de Clichy in Paris 18th and very original artistic creation! To have.,a year ago,2025-01-24 11:43:01.559376,5.0,dexter,292,https://www.google.com/maps/contrib/115405174974556450042/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR5X01iZFJREAE,"Work of the French visual artist Franck Scurti located on the central reservation, at 120 Bd de Clichy, Paris (18th). Monumental apple-shaped sculpture in polished steel, engraved with a planisphere. Inaugurated in 2011, in homage to the philosopher Charles Fourier. Placed on a stone pedestal - a vestige of a monument originally supporting a statue of Charles Fourier melted in 1942 - surrounded by 4 vertical, translucent and colored glass panels, which have now disappeared.",3 years ago,2025-01-24 11:43:01.559376,5.0,Jean Marco92,642,https://www.google.com/maps/contrib/114146936200095763256/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ2b3RPVWFREAE,"A large metal apple (one meter in diameter) is the work of Franck Scurti, via a public commission, entitled “The Fourth Apple”. A planisphere is finely engraved on the apple. Why an apple? Because Charles Fourier was shocked to pay 14 cents for an apple in a Parisian restaurant when at home, in Rouen, he could, for the same price, have 100!                                      The Fourth Apple sculpture by Franck Scurti - facing 120 bd de Clichy, Paris 17th century",3 years ago,2025-01-24 11:43:01.560377,5.0,Roselyne Genest,855,https://www.google.com/maps/contrib/118057500034391174648/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBMlpfaE5BEAE,"Around thirty years ago, Jean-Louis Gassée, then boss of Apple France, published the third apple. Reference to that of Adam and Eve, to that of Newton and that of a computer manufacturer. Three apples having in various ways - and according to the author - turned the world upside down. A fourth emerges which does not disrupt anything and will deteriorate quietly.",6 years ago,2025-01-24 11:43:01.561377,3.0,Benoit Bennetot,"1,680",https://www.google.com/maps/contrib/113444538019192827699/reviews?hl=en
