id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNBX3MyVVpBEAE,Amazing place to have party and go drunk without regrets after a hard exam. Highly recommended!,6 years ago,2025-01-24 12:22:50.305269,5.0,Péter Balázs Kocsis,119,https://www.google.com/maps/contrib/118209725977442091568/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURwNzRqMXl3RRAB,"This lake is little-known, like all the other lakes in the Bois de Boulogne, it is very pleasant to walk all along, there are waterfalls, a chalet on the island and a river shuttle to get there. Not far from there is the upper lake, the contour is not currently possible, there is work, it could be pointed out that it is not possible to go around it, that would avoid to get lost. A plan is very useful for evolving in the Bois de Boulogne, the risk is to miss some very pretty things, it is so vast.",a year ago,2025-01-24 12:22:50.306270,5.0,Icare Phenix,313,https://www.google.com/maps/contrib/114520597750265281227/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNGeGNDXzlBRRAB,"Lac Inferieur is the largest body of water in the Bois de Boulogne. Built in 1854 under Napoleon III, it allows you to enjoy splendid landscapes immersed in the nature of the Parisian park. A rowing boat trip on the lake allows you to enjoy every glimpse of this place, it is definitely worth the effort of rowing!",a year ago,2025-01-24 12:22:50.307270,5.0,Emanuele Mariani,100,https://www.google.com/maps/contrib/109994432063973615741/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN1bmRLZ3dnRRAB,"Very beautiful lake in the Bois de Boulogne. Always a pleasure to stroll there, go boating, walk around the lake, enjoy the view. Really lucky to be able to have this time of break and silence next to a city as active as Paris.",2 years ago,2025-01-24 12:22:50.307270,5.0,Martin C.,133,https://www.google.com/maps/contrib/109059470515706610786/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQwc2R5ODRRRRAB,"A romantic place you could wish for. The lake offers lovely walks, as well as the possibility of boating. You can also picnic on the banks in fine weather. A Parisian parenthesis, a bubble a stone’s throw from the center of the capital",5 years ago,2025-01-24 12:22:50.308270,5.0,Fabienne Touchard,150,https://www.google.com/maps/contrib/118019651966223210475/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNHMEphbWlnRRAB,"I don't know a more beautiful and serene place than the Lower Lake, with its birds, its turtles and its two islands.",2 years ago,2025-01-24 12:22:50.308270,5.0,Thalès de Milet,311,https://www.google.com/maps/contrib/115130037850434397943/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURxbDg2UVdBEAE,"Magnificent place for walks, extremely busy on weekends but remains very quiet during off-peak hours and during the week",3 years ago,2025-01-24 12:22:50.309269,5.0,O Y,219,https://www.google.com/maps/contrib/111807297276833077059/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNxeUtDODZ3RRAB,"By bike or on foot around the Lower Lake of Bois de Boulogne is a treat.... When the weather is good, public holidays and weekends are very lively...",3 years ago,2025-01-24 12:22:50.309269,5.0,Jane Lee,129,https://www.google.com/maps/contrib/105842762235792830913/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ4bTVMbEJnEAE,Great lake! A very nice place for a walk,4 years ago,2025-01-24 12:22:50.310269,4.0,DAVY TRYEP,274,https://www.google.com/maps/contrib/105005672928690917902/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURpc2F5VU5nEAE,Fun to do as a family. Viewpoint of the Eiffel Tower. Accessible by stroller.,4 years ago,2025-01-24 12:22:50.310269,4.0,K M,660,https://www.google.com/maps/contrib/109450872553942616693/reviews?hl=en
