id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNMMVl5SjRBRRAB,All times Help  cimade All Persons Good,6 months ago,2024-12-27 20:27:24.129267,5.0,Md sabul Paris,14,https://www.google.com/maps/contrib/107352012054837987245/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURoN0xPTzh3RRAB,"A great place with very humble and kind people, a cozy place to pray",a year ago,2024-12-27 20:27:24.130267,5.0,Mohammad Reza Koohestani,239,https://www.google.com/maps/contrib/105629257688279693055/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURraFpiSHF3RRAB,Inspired singers,5 years ago,2024-12-27 20:27:24.130267,4.0,Jean-François Hilico,39,https://www.google.com/maps/contrib/113038275188341560014/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUMwbHZfdXl3RRAB,Friendly people,5 years ago,2024-12-27 20:27:24.130267,5.0,bill graham,507,https://www.google.com/maps/contrib/115129482815241689274/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNiOEpyU0NREAE,Haven of peace in the middle of the 6th ardt. Vibrant and welcoming community.,5 months ago,2024-12-27 20:27:24.130267,5.0,Jean-Denys ROBERT,31,https://www.google.com/maps/contrib/102593109767666771358/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURlcDdPby1RRRAB,"There is always someone who welcomes you kindly. The croissant coffee service on Saturday morning (not every Saturday) is a moment of spiritual renewal, very pleasant on a human level. Better than Sunday worship where social interaction is less. There is also the reception of the homeless within the framework of Cimade",2 years ago,2024-12-27 20:27:24.131267,5.0,Alice Ralambofetra,50,https://www.google.com/maps/contrib/104760474372102363977/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaOHYzVmd3RRAB,There are other cults on site. Particularly an English-speaking cult.,a year ago,2024-12-27 20:27:24.131267,5.0,Olivier LO,564,https://www.google.com/maps/contrib/106391046931138366258/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURCeUplLTNRRRAB,"Unexpected visit, I was very well received by two smiling and attentive people. The Chapel was opened to me for a little soothing moment. Thank you so much.",a year ago,2024-12-27 20:27:24.131267,5.0,jaylee,32,https://www.google.com/maps/contrib/102585242485073753972/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURBNTUyRW1BRRAB,"Open, welcoming community, respecting everyone's freedom. The after-worship meals open to all every Sunday, noon and evening, are an opportunity for great encounters.",6 years ago,2024-12-27 20:27:24.131267,5.0,Dominique Fougeirol,0,https://www.google.com/maps/contrib/104809476261419921677/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBOHVfVkZnEAE,"A very welcoming community. Worship on Sunday evening at 6:30 p.m., open to all, regulars, passers-by, curious people!",6 years ago,2024-12-27 20:27:24.132268,5.0,Arnaud Latscha,0,https://www.google.com/maps/contrib/113246895397194035975/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRNGJ5MWNnEAE,Same community as for the Protestant temple on rue de Grenelle. A less solemn atmosphere and great preaching every Sunday at 6:30 p.m.,6 years ago,2024-12-27 20:27:24.132268,5.0,Denis Soubeyran,0,https://www.google.com/maps/contrib/117355340476132821914/reviews?hl=en
