id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNRdF8yRXh3RRAB,Small fenced park surrounded by Rue Jean-Baptiste Clement.,6 years ago,2024-12-28 17:12:44.549328,4.0,Stephen Digby,581,https://www.google.com/maps/contrib/115241117760974041868/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQwamFIblF3EAE,Just a triangle shaped flower garden in the middle of paradise.,5 years ago,2024-12-28 17:12:44.549328,5.0,Dan Douglas,33,https://www.google.com/maps/contrib/103002834215413951034/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUR5N3ZLQlRnEAE,Love love ❤ love,2 years ago,2024-12-28 17:12:44.550329,5.0,Seb F.,186,https://www.google.com/maps/contrib/118083126895850147422/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUR6XzZMbTBRRRAB,"Don't expect a park! It's basically a small patch of greenery, pleasant all the same. Between 2 roads and a pedestrian walkway, so not particularly quiet or pretty",6 months ago,2024-12-28 17:12:44.550329,3.0,Rosie In Paris,7,https://www.google.com/maps/contrib/110477298455237607837/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURVbi1ERlRBEAE,"While strolling around Montmartre, a flower garden suddenly appeared. The pretty flowers were blooming beautifully in the late summer sunlight.",3 years ago,2024-12-28 17:12:44.550329,3.0,Fujiaki Sasaki,257,https://www.google.com/maps/contrib/116743888035520767517/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURxMWJHUzVRRRAB,small square🤷‍♀️🤷‍♀️🤷‍♀️ …,3 years ago,2024-12-28 17:12:44.550329,5.0,Hanna Shaposhnyk,260,https://www.google.com/maps/contrib/118398507198814774187/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQwM3AzRjNBRRAB,Cute,5 years ago,2024-12-28 17:12:44.550329,5.0,Jane Silva,143,https://www.google.com/maps/contrib/108559014713821267717/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNwbXZiWnpRRRAB,,a year ago,2024-12-28 17:12:44.551329,5.0,M J,0,https://www.google.com/maps/contrib/106754927525531476213/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN4aXZXYk93EAE,,a year ago,2024-12-28 17:12:44.551329,3.0,Georges Durand,0,https://www.google.com/maps/contrib/108673038843653639289/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2bG9udkJREAE,,3 years ago,2024-12-28 17:12:44.551329,5.0,Jonathan Moy,94,https://www.google.com/maps/contrib/104648025081155114230/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5Z1pqMGF3EAE,,3 years ago,2024-12-28 17:12:44.551329,5.0,Ryan Nguyen,8,https://www.google.com/maps/contrib/118064918006380154358/reviews?hl=en
