id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURQNmQzcnpnRRAB,"Nice place, a bit expensive but it's normal in these places. Super well located and good coffee.",a month ago,2025-01-24 13:00:55.181843,4.0,Joni Gritzner,"1,462",https://www.google.com/maps/contrib/101676894179785835911/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURYaDRlbXJnRRAB,I took a healthy and tasty chicken bowl for me and two artisanal chips for the kids. The Location is very nice.  The two stars for service are under request of my kid that went back to ask for salt to add to the chips and says he was mocked for his Italian accent when asking in French,2 months ago,2025-01-24 13:00:55.182846,3.0,Giovanni Mameli,35,https://www.google.com/maps/contrib/108672731822598847953/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURoMk5IeFZnEAE,"The Petit Plisson located next The Jardin Des Tuileries . There are not too many options for meals but if you are tired and need a break in the middle of the park, this is one of the close & good options for a light meal . the Jardin des Tuileries is a beautiful public park in Paris that is definitely worth a visit. The park features stunning gardens, fountains, and sculptures, as well as several cafes and food stands where visitors can enjoy refreshments while taking in the scenery.",a year ago,2025-01-24 13:00:55.182846,4.0,bao tram nguyen,126,https://www.google.com/maps/contrib/112750362701391022644/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNoZ2ZpRy1nRRAB,"KIND STAFF, GOOD HOT DOG. But PRICY and really LITTLE SUPPLY of FOOD. At 1pm already finished all the hot dog.",a year ago,2025-01-24 13:00:55.183844,3.0,Darckghost Rider (ure_unique),638,https://www.google.com/maps/contrib/105031282489943790335/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNmOVBLLVZREAE,"Rudest seller ive ever seen, we asked to split the bill but on purpose he did not. Awful customer service",4 weeks ago,2025-01-24 13:00:55.184844,1.0,dreaming guy,0,https://www.google.com/maps/contrib/113925317986706263945/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN1dm9XR2t3RRAB,"Very tasty food and quick service, beautiful scenery",2 years ago,2025-01-24 13:00:55.184844,5.0,Ronny Van Peer,61,https://www.google.com/maps/contrib/108472579017246221345/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaa0xmTTBRRRAB,Really nice sitting area inside the gardens. Umbrellas provide such a relief during warm sunny days. It was a good experience to sit and sip the chilled White wine here. The overall vibes are really good. There is a small pond right next to it.,a year ago,2025-01-24 13:00:55.185844,4.0,Animesh Kumar,702,https://www.google.com/maps/contrib/100933258216537895853/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURXbU5UbEJ3EAE,Hands down the worst cappuccino I've ever had. One sip and straight in the bin. Instant coffee would have tasted better than that,2 years ago,2025-01-24 13:00:55.185844,1.0,Leon Paul,1,https://www.google.com/maps/contrib/108513086520388049478/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNyOE83MzVBRRAB,"First problem is the waiting time just to order. Then, communication issues in a tourist place (you need to talk English)  Then...majority of the products are not available and food is precooked.",6 months ago,2025-01-24 13:00:55.186845,2.0,Cristian La Salvia,267,https://www.google.com/maps/contrib/114467680318634185854/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyMy1XRlFREAE,"Large terrace in the middle of the gardens, partially sunny but mainly shaded by trees. You order from the counter and the friendly staff makes the heroic effort of finding you on the terrace to deliver your order. The menu is not spectacular but god for a snack after walking around the busy Louvre (or city) for a couple of hours.",2 years ago,2025-01-24 13:00:55.187843,4.0,Mathis vK,323,https://www.google.com/maps/contrib/101580897977423474394/reviews?hl=en
