id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMzcW9fYzN3RRAB,"This stone bridge spans the Seine, linking the middle section of IIie Saint Louis with the 4th arr",a month ago,2024-12-27 21:38:38.391187,5.0,V H,"7,600",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNSeHVLeGxRRRAB,"Delightful place, especially when the weather is nice. You can sit on the riverside next to the riverside path (known as Voie Georges Pompidou) and admire the view of the River Seine and the lovely architecture of the buildings or you can people-watch as joggers, walkers, cyclists, rollerskaters and skateboarders go along the riverside path.",a year ago,2024-12-27 21:38:38.391187,5.0,2Wheel Chick (Maria),12,https://www.google.com/maps/contrib/115900855013426035503/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURSalBEWjVBRRAB,Beautiful view of the sunset from the bridge!! Highly recommend it! A must see!,a year ago,2024-12-27 21:38:38.391187,5.0,Lewis XIII,308,https://www.google.com/maps/contrib/108942258015965146492/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNhbHJTblNnEAE,"Immediate access to beautiful views, from any point on the bridge, as well as below. Incredible location. Safe area. Metro stop is right there, too. ❤️",3 years ago,2024-12-27 21:38:38.392188,5.0,Ricea “Rooner” Roni,96,https://www.google.com/maps/contrib/115950730543910463421/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNjM1ozdzBRRRAB,Amazing bridge in Paris on the beautiful river Senna!! This bridge is unique cause of its position near a beautiful riverside walk with bars and gardens!! Ideal for a nice view stop and cheers!! 👍🍺😉 …,4 years ago,2024-12-27 21:38:38.392188,5.0,Davide Danti,"1,097",https://www.google.com/maps/contrib/107422949794614056159/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNiNlp6U1BREAE,"Beautiful weather , beautiful people , perfect dance",4 months ago,2024-12-27 21:38:38.394187,5.0,Dan Kuo,39,https://www.google.com/maps/contrib/103623185236174870879/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURwcU5TSUN3EAE,Nice long walk even for thé dogs meeting other dogs too.,a year ago,2024-12-27 21:38:38.394187,5.0,CHANDRALATHA CHARBONNIER,9,https://www.google.com/maps/contrib/117751578836283937860/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUQyaGRQTHF3RRAB,"This bridge is one of the many bridges that crossed the Sena River in Paris. It is close to a metro station (line 7). People gather together in spring, summer and autumn to enjoy the view with a glass of wine and snacks. There are few supermarkets and mini markets nearby so it's easy to get food and drinks if needed  The sunset from this point is amazing.",2 years ago,2024-12-27 21:38:38.394187,5.0,Lina Gomez,234,https://www.google.com/maps/contrib/109140238452999998039/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaODdpOGdRRRAB,"Nice bridge for walking onto the island to get ice cream/shop, and nice views of the Seine.  We thoroughly enjoyed walking along the Seine in Paris, they have really made it a wonderful part of the city to be in.",a year ago,2024-12-27 21:38:38.394187,5.0,Megan Wilcox,"1,407",https://www.google.com/maps/contrib/106253592949393170364/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURZXy1tYjZBRRAB,Very quiet area awat from the tourists and traffic,5 years ago,2024-12-27 21:38:38.395188,4.0,Amy Watson Sanchez Cuoq,223,https://www.google.com/maps/contrib/114128613786864959604/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNhLXJ5VHpRRRAB,"Next to it is the good place to chill in the evening with family and friends, great view of the bridge and other landmarks.",3 years ago,2024-12-27 21:38:38.395188,5.0,Dalius Rudavičius,72,https://www.google.com/maps/contrib/114601933896330719171/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN1dzREVHNRRRAB,Loved lounging here after walking around all day. A great place to relax.,2 years ago,2024-12-27 21:38:38.395188,5.0,Amanda Marable,33,https://www.google.com/maps/contrib/103890629294557257597/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0aU5yTFFnEAE,I think a leisure walk in the evening along the lively and energetic banks of seine in spring is always a good idea.,5 years ago,2024-12-27 21:38:38.395188,5.0,Kishore Sivakumar,65,https://www.google.com/maps/contrib/104986561287510108575/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURILXBubG1RRRAB,Beautiful place to go for an evening stroll,3 months ago,2024-12-27 21:38:38.396187,5.0,D S,28,https://www.google.com/maps/contrib/104010445031468544059/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZb1o2czBnRRAB,Chill area with nice people who live there great area near the quais de scene for photos and summer outdoor parties,5 years ago,2024-12-27 21:38:38.396187,5.0,Leo Smith,36,https://www.google.com/maps/contrib/102120123601153924832/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURocHBmRDFRRRAB,"I was struck by its charming and picturesque location. Pont Marie Paris is a lovely spot for a leisurely stroll along the Seine River, and there are plenty of cafes and restaurants nearby to grab a bite to eat or drink. The ambiance is cozy and inviting, and it's a perfect place for a romantic evening or a casual hangout with friends.  However, I have to say that the service could use some improvement. The staff seemed a bit disinterested in their work, and we had to wait quite a while for our order to be taken. Additionally, the quality of the food was somewhat inconsistent - some dishes were excellent, while others were mediocre at best.  Despite these issues, what sets Pont Marie Paris apart is its unique atmosphere and stunning views of the river. It's truly a special place, and I would recommend it for a visit if you're looking for a peaceful escape from the hustle and bustle of Paris.",a year ago,2024-12-27 21:38:38.396187,3.0,Reda Haddou,506,https://www.google.com/maps/contrib/114553008799835481583/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSbXRpWE5REAE,"So glad the UN dedicated a piece of Europe and built a bridge for The Case Study of Vanitas! Love how they called it ""Paris"" like the setting!! This bridge is exactly like the bridge that Vanitas looks over 😁 …",a year ago,2024-12-27 21:38:38.396187,5.0,Ani,15,https://www.google.com/maps/contrib/103096372028054288983/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwbDluUnpnRRAB,Nice spot to enjoy a glass of rose,5 years ago,2024-12-27 21:38:38.397188,4.0,ramssis,267,https://www.google.com/maps/contrib/103497155289431191453/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ3djk3TWdRRRAB,Super,3 months ago,2024-12-27 21:38:42.543013,5.0,Marc Prien,20,https://www.google.com/maps/contrib/105100371708852020942/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURodGNPT3hBRRAB,"A bridge links Île Saint-Louis with the northern bank of the Seine. Interestingly, Pont de la Tournelle, situated along the same line on the opposite side of the river, links it with the southern (right) bank of the Seine. A five-arch stone bridge, 92 m long, was designed by Christophe Marie and belonged to the oldest bridges in Paris. It was built for 20 years, opened in 1635, partially destroyed by a flood two decades later, and reconstructed in 1670. Until 1769 houses were placed on the top of the bridge; however, extensive flooding caused many casualties in this case.",a year ago,2024-12-27 21:38:42.543013,5.0,Leszek Drabik,215,https://www.google.com/maps/contrib/117849812935890652139/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR1OXBlRUFREAE,Fun.,2 years ago,2024-12-27 21:38:42.544013,4.0,julien lécu,300,https://www.google.com/maps/contrib/111081088251598848645/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBdFA2TXB3RRAB,"One of my favorite place in Paris, where I made the promise to my girlfriend. Love it!",7 years ago,2024-12-27 21:38:42.544013,5.0,Matteo Bonetti,87,https://www.google.com/maps/contrib/108940800863524324779/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURaNnViTUd3EAE,"Lovely stroll to this bridge, leads to many important visiting points and small gardens",a year ago,2024-12-27 21:38:42.544013,4.0,Cynthia Olsen,539,https://www.google.com/maps/contrib/114707195405193819687/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR1N3AyUmJ3EAE,Perfect place for dates,2 years ago,2024-12-27 21:38:42.544013,4.0,Ayush Kesarwani,20,https://www.google.com/maps/contrib/112686518480091857605/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNQakliWlpBEAE,The best bridge in the world,a month ago,2024-12-27 21:38:42.545014,5.0,Andrew Rudenko,36,https://www.google.com/maps/contrib/112431753188115827194/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURaeWVhVnNRRRAB,Beauty,a year ago,2024-12-27 21:38:42.545014,5.0,Monika K,62,https://www.google.com/maps/contrib/101114675025438478953/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyLTgzaWNBEAE,"Crowded, touristy by day, trendy by night. On summer time check the restaurant near the seine called « nautes »perfect for a drink with friends or a date or better a picnic near the water level.",2 years ago,2024-12-27 21:38:42.545014,4.0,Carlos “Made” Pardo,202,https://www.google.com/maps/contrib/104751775071037534807/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURHMGZpdzJBRRAB,"This is the historical neighborhood my wife and I stayed in during our wonderful Thanksgiving 🦃 week holiday in Paris. Notre Dame, subway 🚇, pharmacy, groceries, shops are within walking distance 🚶‍♂️🚶🏿‍♀️. We stayed on the island in an art museum themed apartment the Mrs. found on VRBO. Locals spoke 🗣️amazing English. …",3 years ago,2024-12-27 21:38:42.545014,5.0,John A.,14,https://www.google.com/maps/contrib/114518652509389456162/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURZOE1tS3F3RRAB,Cool place to hang out with friends..,5 years ago,2024-12-27 21:38:46.695196,5.0,alok kumar,20,https://www.google.com/maps/contrib/109097956496166588237/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR6ek5yS0h3EAE,Lilith the shark ate me. Would come here again,6 months ago,2024-12-27 21:38:46.696196,5.0,Dylan Cope,0,https://www.google.com/maps/contrib/114506572427711825662/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrNG9TR2xRRRAB,A lovely place you can see a lot of historical building on the side of the river and looking at the sunset while a boat passing by the river. Super nice would love to comeback again,5 years ago,2024-12-27 21:38:46.696196,5.0,Azmi Maulana Hamdani,114,https://www.google.com/maps/contrib/118281170627250442353/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrcGJEZ3Z3RRAB,Loved it.  Picturesque during sunset.,5 years ago,2024-12-27 21:38:46.696196,5.0,Christie Susanto,28,https://www.google.com/maps/contrib/107113265449926529621/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNDbHJYbFd3EAE,Just one of the 3 lovely bridges over the  banks of Seine that links the Île Saint-Louis to the quai de l'Hôtel de Ville to allow traffic flow between the Île Saint-Louis and the Left and Right banks of Paris.,4 years ago,2024-12-27 21:38:46.697197,3.0,Lucinda B,372,https://www.google.com/maps/contrib/109683260766256180753/reviews?hl=en
