id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNublAtVk53EAE,Part of an interesting Bimble around Avallon. Always love a statue 👌🏻,4 months ago,2025-01-24 11:54:20.550454,5.0,Martin Eva,0,https://www.google.com/maps/contrib/118044922174325911800/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURhenU3aHp3RRAB,Beautiful historic place.,3 years ago,2025-01-24 11:54:20.551455,4.0,Veronica de Ruijter,40,https://www.google.com/maps/contrib/113001405423711426364/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURDdy1xRTlBRRAB,"Auguste Bartholdi presented three models before his project was accepted. Ferdinand Barbedienne, a French industrialist, took charge of the foundry work. Built in 1873, this bronze statue celebrates a local child, Marshal Sébastien Le Prestre, Marquis de Vauban. The castle of Bazoche, the latter's residence, is located nearby; its visit will satisfy the most demanding visitors.  Vauban was an exceptional military architect, who, promoted by Louis XIV, marked his era with gigantic construction sites for fortified places. But he was a creator of genius with boundless activity in many fields, town planning, hydraulics. He was also a French thinker and essayist.",4 years ago,2025-01-24 11:54:20.552456,4.0,Paul Pérucaud (Chaktori Chaktori),"5,212",https://www.google.com/maps/contrib/106120871928462901008/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNyeGNPSUhnEAE,Beautiful statue in the heart of Avallon of a great man Vauban.,6 months ago,2025-01-24 11:54:20.553454,5.0,Roselyne Genest,855,https://www.google.com/maps/contrib/118057500034391174648/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNVbnFDd3RnRRAB,Beautiful statue which pays tribute to a man who knew how to leave his mark on his country. Until today.,5 years ago,2025-01-24 11:54:20.553454,3.0,Thomas Dorsata,824,https://www.google.com/maps/contrib/104046084371555075963/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURxeVByUnRRRRAB,"Erected on the Promenade des Terreaux, close to the city center, the statue of Marshal Vauban by Bartholdi, pays homage to the local child. Born in 1633, in Saint-Léger de Fourcheret (now Saint-Léger Vauban, a few kilometers south of Avallon) Vauban marked his era with his genius for construction and military strategy. The Vauban Museum, in Saint Léger Vauban, is entirely dedicated to the life and work of Marshal de Vauban.",2 years ago,2025-01-24 11:54:20.554454,5.0,Claude Richard,690,https://www.google.com/maps/contrib/113708171341919630310/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURadHJlXzVBRRAB,"To have. Dinner at the restaurant ""les cocottes"" very good owner and friendly waitress. To discover",a year ago,2025-01-24 11:54:20.555454,4.0,Jacques Bruneau,68,https://www.google.com/maps/contrib/111445595757506620353/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNCZzQ2TktREAE,Places and distances and a mathematical factor and the mood and often the time for the pleasure of a dinner and sharing the day with a story to make public to you thank you winter and our movement,2 years ago,2025-01-24 11:54:20.555454,4.0,Dominique Ruggeri,22,https://www.google.com/maps/contrib/102704343659079277658/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ5OUp5Z0Z3EAE,"Avallon is a pretty medieval town! Lots of things to see, as well as shops, restaurants and tea room",10 months ago,2025-01-24 11:54:20.556458,5.0,Le gîte du sorcier 89,0,https://www.google.com/maps/contrib/118050348082014308019/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNxOXVUVmNBEAE,"Attentive and kind staff, Unfortunately the dishes do not follow at all and are of poor quality at expensive prices for what they are.... Damage",3 years ago,2025-01-24 11:54:20.556458,2.0,Antoine M.,118,https://www.google.com/maps/contrib/116108131343881086395/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNabVpPQmtnRRAB,"Like many cities, not really special.",a year ago,2025-01-24 11:54:20.557454,3.0,Fred Steenvoorden,287,https://www.google.com/maps/contrib/103034285089868122335/reviews?hl=en
