id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURYMlptc05BEAE,Excellent place for our babies! Definitely recommend this small park/play area,3 months ago,2025-02-09 15:00:10.507033,5.0,Gerardo Cervantes,215,https://www.google.com/maps/contrib/113077217781079903540/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXdTZUc01nEAE,"Sort of surreal visit. We stopped at this park after walking all day just to rest about a week into the Russian invasion. Did not previously know about the church or writer this is dedicated to. While we there, workers were loading a van with donations for displaced Ukrainians. There were also many cars driving by in protest as well. Beautiful park and lovely people from the church.",2 years ago,2025-02-09 15:00:10.507033,5.0,Allan Haze,"1,350",https://www.google.com/maps/contrib/100876101222290234324/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNROHFfSzZnRRAB,"Nice local spot to have our lunch and refresh after our visit to the nearby Louvre Museum. Adjacent to the church, many benches to chose from and decent shade.",8 years ago,2025-02-09 15:00:10.508033,3.0,Rosalia Villanueva,29,https://www.google.com/maps/contrib/101704652953981898375/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURnMTdEM0l3EAE,Memorial to the first novelist / poet to write in the Ukrainian language.,6 years ago,2025-02-09 15:00:10.509033,4.0,Jim Christiansen,93,https://www.google.com/maps/contrib/116899274737559496027/reviews?hl=en-US
ChRDSUhNMG9nS0VJQ0FnSUNlMjdGdRAB,Cosy green place in the centre of Paris,2 years ago,2025-02-09 15:00:10.509033,5.0,Oksana Sukhenko,707,https://www.google.com/maps/contrib/100145995773024755240/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURVOWRtNDNnRRAB,Small playground in the city centre of Paris.,5 years ago,2025-02-09 15:00:10.509033,3.0,Tereza Plháková,59,https://www.google.com/maps/contrib/117241379193918632738/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMtMklQdlJBEAE,Cosy,2 years ago,2025-02-09 15:00:10.510033,5.0,Jessica Guerrier,0,https://www.google.com/maps/contrib/101106152684543455037/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURDdEt2X0V3EAE,"A small pretty square, frequented by families with children, calm guaranteed. Square adjoining the Ukrainian church of St Vladimir The Great to visit.",4 years ago,2025-02-09 15:00:10.510033,5.0,BUSCA GIAM,405,https://www.google.com/maps/contrib/104988806245298693464/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURKa0xYdkVBEAE,"Very nice little park to rest and read. Public toilets, bakery nearby if you stay long. The area is nevertheless a little too noisy. Traffic and work in the buildings next door.",a year ago,2025-02-09 15:00:10.511033,4.0,Betton Philippe,27,https://www.google.com/maps/contrib/105010875045000569513/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNlNlAtbUpREAE,"Small garden with free entry. Equipped with benches, fountain and waste containers. Perfect for a break and to stop for a snack with something purchased in the surrounding shops.",2 years ago,2025-02-09 15:00:10.511033,4.0,Alberto Tiddia,133,https://www.google.com/maps/contrib/106150330724106126533/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURnaktYVXR3RRAB,A small square with a monument near the Ukrainian church,6 years ago,2025-02-09 15:00:10.512033,5.0,Roman Yuskiv,330,https://www.google.com/maps/contrib/103984931089702070984/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNLbmNfVzVBRRAB,"A piece of Ukrainian land with its prophet, Taras, meeting place of Ukrainian migrants and workers. Ukrainian church where you can quietly pray to God...",3 years ago,2025-02-09 15:00:10.512033,5.0,Юрій Молдавчук,8,https://www.google.com/maps/contrib/100252302287109555084/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURtb2VTa2ZREAE,A pretty little square. To discover,3 years ago,2025-02-09 15:00:10.513033,4.0,Stephane ThaiChang,925,https://www.google.com/maps/contrib/105540704379332945273/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtd01uWE9REAE,Small square along Boulevard Saint Germain. Quiet square with a small play area for 3-6 year olds.,2 years ago,2025-02-09 15:00:10.513033,4.0,N R,79,https://www.google.com/maps/contrib/115589697564278184151/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQyLXMyQ21nRRAB,"A pleasant, charming green square With the statue which bears his name famous Ukrainian personality",2 years ago,2025-02-09 15:00:10.514033,5.0,Mohamed Ghili,339,https://www.google.com/maps/contrib/107163083834534439705/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQyeXVETlRREAE,Small neighborhood park that welcomes children after school,2 years ago,2025-02-09 15:00:10.514033,3.0,Juanita Henbois,0,https://www.google.com/maps/contrib/101289143598100131573/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyOGVIQUhnEAE,The best park of Taras Shevchenko in the city of Paris,2 years ago,2025-02-09 15:00:10.514033,5.0,Ruslan Shulyak,5,https://www.google.com/maps/contrib/109163849568953359804/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBOHR5bS1nRRAB,"Even though it is located on the main street, it is good to rest comfortably. Sit down when your legs hurt!",6 years ago,2025-02-09 15:00:10.515033,5.0,Seungjin Jo,0,https://www.google.com/maps/contrib/112658573409037405059/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURnaXBMVzVRRRAB,Cute little square. A little greenery is good.,7 years ago,2025-02-09 15:00:14.620958,5.0,Vlad Watti,114,https://www.google.com/maps/contrib/109315940400672482884/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBeXQtd2JBEAE,Probably a place twinned with the Carpathian National Park?,7 years ago,2025-02-09 15:00:14.621958,5.0,Gérôme Taillandier,"4,177",https://www.google.com/maps/contrib/102860160400219908558/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvbnZUdUJBEAE,"It's nice, and most importantly, it's nice that our countryman, artist, poet is respected in France.",5 years ago,2025-02-09 15:00:14.621958,5.0,Вася Козарик,0,https://www.google.com/maps/contrib/112594578975600989992/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNjM2ZpeHpRRRAB,A small garden with Taras in the middle.,4 years ago,2025-02-09 15:00:14.622958,5.0,Oleksandr Sukhoi,475,https://www.google.com/maps/contrib/113577604120740509462/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNPcnYyREJ3EAE,,2 years ago,2025-02-09 15:00:14.622958,5.0,Ostap Zaishlyi,311,https://www.google.com/maps/contrib/101487764850753486883/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURlOTZqSGdRRRAB,👍 …,2 years ago,2025-02-09 15:00:14.623958,5.0,Volodymyr Kanon,10,https://www.google.com/maps/contrib/115984279771194090827/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURwajdIM1VBEAE,Very atmospheric),a year ago,2025-02-09 15:00:14.623958,5.0,Оксана Комерзан,10,https://www.google.com/maps/contrib/103982236363448044142/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyal9fNURnEAE,"Own, native. 💐 …",2 years ago,2025-02-09 15:00:14.624958,5.0,Vladimir S,202,https://www.google.com/maps/contrib/101707249488029611164/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNpLVAzbDRBRRAB,I am Ukrainian! ❤️,4 years ago,2025-02-09 15:00:14.624958,5.0,Vitaliy Nagirniak,16,https://www.google.com/maps/contrib/110672125140145494162/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNKLVpxQ0pREAE,nice,a year ago,2025-02-09 15:00:14.625958,4.0,Max BOUTON,0,https://www.google.com/maps/contrib/106232525323349397925/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURPaHVtWHJRRRAB,,2 years ago,2025-02-09 15:00:18.741210,5.0,Іванна Мальованчук,23,https://www.google.com/maps/contrib/106321480984551816172/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURNczk3Q0J3EAE,A wonderful Ukrainian church.,5 years ago,2025-02-09 15:00:18.742211,5.0,Oksana Shcherbak,75,https://www.google.com/maps/contrib/105902328416314336315/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURXM2FEUzhBRRAB,Park for recreation,2 years ago,2025-02-09 15:00:18.742211,5.0,Роман Дмитраш,35,https://www.google.com/maps/contrib/109214525164441634023/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURHOWZEdmxRRRAB,,3 years ago,2025-02-09 15:00:18.743210,5.0,Надя Криль,23,https://www.google.com/maps/contrib/100944878923533751714/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1LWY2VDNnRRAB,Patriotic!,2 years ago,2025-02-09 15:00:18.743210,5.0,Женя Женя,29,https://www.google.com/maps/contrib/105327327771006122312/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNKbWR6SWJ3EAE,September,a year ago,2025-02-09 15:00:18.744210,5.0,Igor Chychkan,34,https://www.google.com/maps/contrib/110704528851970603523/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZdWJ6dWxBRRAB,bad,5 years ago,2025-02-09 15:00:18.744210,1.0,ماجد الغامدي,33,https://www.google.com/maps/contrib/114342043775182517052/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtaTUtVWZREAE,Great place,2 years ago,2025-02-09 15:00:18.745210,5.0,Василь Кошлій,17,https://www.google.com/maps/contrib/105189435170804188608/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN6aGNPaThBRRAB,,8 months ago,2025-02-09 15:00:18.745210,5.0,Светлана Смирнова,0,https://www.google.com/maps/contrib/103844637916312147411/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUREdzVDWlF3EAE,,9 months ago,2025-02-09 15:00:18.745210,5.0,Pavel Ladchenko,0,https://www.google.com/maps/contrib/114304828789523098496/reviews?hl=en
